,title,author,genres,description,sentiment_BERT
17,THE PHILOSOPHY OF MODERN SONG,,,"In a collection of more than 60 essays, the musician and winner of the Nobel Prize in Literature explores the nature of popular music.",positive
18,DREAMLAND,,,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,positive
19,TRIPLE CROSS,,,Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,positive
20,MAD HONEY,,,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",positive
21,A WORLD OF CURIOSITIES,,,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",positive
22,"TOMORROW, AND TOMORROW, AND TOMORROW",,,Two friends find their partnership challenged in the world of video game design.,positive
23,THE SONG OF THE CELL,,,The Pulitzer Prize-winning author chronicles the discovery of cells and describes how modern medicine uses them.,positive
24,THE SEVEN HUSBANDS OF EVELYN HUGO,,,A movie icon recounts stories of her loves and career to a struggling magazine writer.,positive
25,NOVEMBER 9,,,Ben and Fallon meet on the same day each year but a possible untruth might spoil their relationship.,neutral
26,THE SILENT PATIENT,,,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,positive
27,MAYBE SOMEDAY,,,"When a college student finds out her boyfriend is cheating on her, she turns her attention to her guitar-playing neighbor.",neutral
28,BRAIDING SWEETGRASS,,,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,positive
29,ALL ABOUT LOVE,,,The late feminist icon explores the causes of a polarized society and the meaning of love.,positive
30,ALL ABOUT ME!,,,"The EGOT and Kennedy Center honoree shares stories about making comedy for the stage, film and television.",positive
31,BECOMING,,,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",positive
32,DEVOTION,,,"During segregation, a white New Englander and an African American sharecropper’s son from Mississippi fight together in the Korean War; the basis of the movie.",positive
33,TALKING TO STRANGERS,,,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,positive
34,THE GREATEST BEER RUN EVER,,,"In 1967, a former Marine agrees to sneak into Vietnam to deliver brews to friends still serving.",positive
35,THESE PRECIOUS DAYS,,,"Essays on friendships, influences and the connection between life and art.",positive
36,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,,,Over 100 kid-tested recipes from America's Test Kitchen.,positive
37,THE CHRISTMAS PIG,,,"When a young boy's favorite toy goes missing, it's Christmas Pig to the rescue!",positive
38,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,,,One hundred plus kid-tested baking recipes.,positive
39,THE OFFICIAL HARRY POTTER BAKING BOOK,,,Forty-three tasty recipes inspired by the Harry Potter films.,positive
40,ODDER,,,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",positive
41,TWO DEGREES,,,Four kids simultaneously experience three natural catastrophes due to climate change.,positive
42,WONDER,,,A boy with a facial deformity starts school.,positive
43,REFUGEE,,,Three children in three different conflicts look for safe haven.,positive
44,THE DOOR OF NO RETURN,,,Kofi's life is turned upside down after his brother accidentally kills a prince in a wresting match.,positive
45,HOW TO CATCH AN ELF,,,A tiny narrator dodges traps while making the Christmas rounds.,positive
46,DRAGONS LOVE TACOS,,,What to serve your dragon-guests.,positive
47,THE DAY THE CRAYONS QUIT,,,Problems arise when Duncan’s crayons revolt.,neutral
48,LITTLE RED SLEIGH,,,Little Red Sleigh dreams of becoming Santa's sleigh one day.,positive
49,CONSTRUCTION SITE ON CHRISTMAS NIGHT,,,Construction vehicles build a firehouse in time for Christmas.,positive
50,THE WONDERFUL THINGS YOU WILL BE,,,A celebration of future possibilities.,positive
51,THE SOUR GRAPE,,,"A grape hold grudges against everyone, then re-evaluates life when one is held against him.",positive
52,LITTLE BLUE TRUCK MAKES A FRIEND,,,Blue and friends meet Chuck the woodchuck.,positive
53,HOW TO CATCH A UNICORN,,,Children attempt to capture the mythical creature.,positive
54,DIARY OF A WIMPY KID,,,The travails and challenges of adolescence.,positive
55,HARRY POTTER,,,A wizard hones his conjuring skills in the service of fighting evil.,positive
56,PERCY JACKSON & THE OLYMPIANS,,,A boy battles mythological monsters.,positive
57,A GOOD GIRL'S GUIDE TO MURDER,,,Pippa Fitz-Amobi solves murderous crimes.,positive
58,MAGIC TREE HOUSE,,,These siblings can overcome space and time.,positive
59,CAPTAIN UNDERPANTS,,,Boys and their principal fight evil.,positive
60,THE SUMMER I TURNED PRETTY TRILOGY,,,"A beach house, summer love and enduring friendships.",positive
61,WINGS OF FIRE,,,Only the five dragonets of destiny can unite the seven warring dragon tribes.,positive
62,THE INHERITANCE GAMES,,,Avery Grambs tries to figure out why an inheritance from a stranger was bestowed upon her.,positive
63,LONG LIVE THE PUMPKIN QUEEN,,,"Sally, the new Queen of Halloween Town, must save her town from a sleeping curse.",positive
64,FIVE SURVIVE,,,Six friends on a spring break road trip in an R.V. are the target of a sniper.,positive
65,THE FIRST TO DIE AT THE END,,,"In this prequel to ""They Both Die at the End,"" Orion and Valentino attend the premier of Death-Cast in Times Square.",positive
66,LIGHTLARK,,,Every 100 years the island of Lightlark appears and a deadly competition called the Centennial takes place.,positive
67,ONE OF US IS LYING,,,"For five students, a detour into detention ends in murder.",negative
68,A THOUSAND HEARTBEATS,,,Annika and Lennox are lovers on opposing sides of an impending war.,positive
69,FAMILY OF LIARS,,,This prequel to “We Were Liars” focuses on Cady's mother and aunts as teenagers in 1987.,positive
70,I WAS BORN FOR THIS,,,"Angel meets the front man of her favorite boy band, the Ark.",positive
71,LOVELESS,,,"Georgia, a British teenager, works on accepting her aro-ace identity.",positive
72,GREENLIGHTS,,,"The Academy Award-winning actor shares snippets from the diaries he kept over 35 years. Read by the author. 6 hours, 42 minutes unabridged.",positive
73,FINDING ME,,,"The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success. Read by the author. 9 hours, 15 minutes unabridged.",positive
74,THE MYTH OF NORMAL,,,"The potential ways in which trauma and stress from modern-day living can affect our physical health. Read by Daniel Maté. 18 hours, 13 minutes unabridged.",positive
75,STARRY MESSENGER,,,"The astrophysicist and director of the Hayden Planetarium delves into subjects including politics, religion, gender and race. Read by the author. 7 hours, 17 minutes unabridged.",positive
76,COLLABORATIONS,,,"The fourth book in the Cat Kid Comic Club series. After doing their chores, baby frogs work together to create more mini-comics.",positive
77,MOON RISING,,,The sixth book in the Wings of Fire graphic novel series; adapted by Barry Deutsch and Rachel Swirsky.,positive
78,"CHAINSAW MAN, VOL. 1",,,A poor young man who was betrayed by someone he once trusted discovers he has the power of a devil inside him.,negative
79,ON PURPOSE,,,"The third book in the Cat Kid Comic Club series. Fame, fortune and creativity pull the members of the comic club in different directions.",positive
80,MOTHERING HEIGHTS,,,The 10th book in the Dog Man series. Can the power of love overcome the darkness and despair created by new villains?,positive
81,JESSI'S SECRET LANGUAGE,,,The 12th book in the Baby-sitters Club graphic novel series. Jessi uses sign language with her charge.,positive
82,THE BAD GUYS IN THE OTHERS?!,,,The 16th book in the Bad Guys series. An oversharing bat and a guy with a mullet add to the weirdness.,positive
83,GRIME AND PUNISHMENT,,,"The ninth book in the Dog Man series. After turning in his badge, the canine cop is determined not to just roll over.",positive
84,MARY ANNE'S BAD LUCK MYSTERY,,,The 13th book in the Baby-sitters Club graphic novel series. Mary Anne receives a bad-luck charm in the mail with instructions to wear it.,positive
85,THE JUDGE'S LIST,,,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.,positive
86,STEAL,,,"An N.Y.P.D. detective, a hedge fund chief executive and a psychology professor are wrapped up in the disappearance of a college student.",positive
87,INVISIBLE,,,The daughter of a couple in a loveless marriage is discovered by a British filmmaker and thrust into the public eye.,positive
88,A GAMBLING MAN,,,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",positive
89,THE AWAKENING,,,The first book in the Dragon Heart Legacy series. Breen Kelly travels through a portal in Ireland to a land of faeries and mermaids.,positive
90,ONE STEP TOO FAR,,,The second book in the Frankie Elkin series. Frankie searches for a young man who went missing during a bachelor party camping trip.,positive
91,BEFORE WE WERE YOURS,,,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,positive
92,CRUEL WINTER OF THE MOUNTAIN MAN,,,"The 50th book in the Mountain Man series. Smoke Jensen enlists the townspeople of Salt Lick, Texas, to protect their town from a blizzard and bandits.",positive
93,LEOPARD'S SCAR,,,The 14th book in the Leopard series. Desire arises when Meiling uses her strength to save a leopard shifter.,positive
94,THE CABINET OF DR. LENG,,,The 21st book in the Pendergast series. Constance Greene travels back in time to prevent the deaths of her siblings.,positive
95,THE HOUSE OF WOLVES,,,"After her father is murdered, Jenny Wolf becomes the head of a powerful family in California.",positive
96,SPARE,,,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",positive
97,THE NAZI CONSPIRACY,,,"The story of a Nazi plot to kill President Roosevelt, Joseph Stalin and Winston Churchill.",positive
98,STRAIGHT SHOOTER,,,The ESPN analyst recounts the highs and lows of his life and career.,positive
99,MASTER SLAVE HUSBAND WIFE,,,"In 1848, Ellen Craft, disguised as a disabled white man, and her husband, William, posing as that man’s slave, achieved freedom only to have to flee again.",positive
100,HOW TO SELL A HAUNTED HOUSE,,,"After her parents die, Louise encounters more than she expected in dealing with the family home.",positive
101,THE HOUSE IN THE PINES,,,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.",positive
102,HELL BENT,,,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.,positive
103,AN IMMENSE WORLD,,,The Pulitzer Prize–winning science writer explains the sensory perceptions and ways of communication used by a variety of animals.,positive
104,ROUGH SLEEPERS,,,The Pulitzer Prize-winning author chronicles Jim O’Connell’s work to provide medical care to Boston’s unhoused population.,positive
105,A MAN CALLED OVE,,,A curmudgeon's gruff exterior masks a generosity of spirit; the basis of the film “A Man Called Otto.”,positive
106,THINGS WE NEVER GOT OVER,,,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.,positive
107,SAPIENS,,,How Homo sapiens became Earth’s dominant species.,positive
108,"THINKING, FAST AND SLOW",,,When we can and cannot trust our intuitions in making business and personal decisions.,positive
109,EDUCATED,,,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",positive
110,THE JANUARY 6TH REPORT,,,The final report of the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol; with a preface by David Remnick and epilogue by Representative Jamie Raskin.,positive
111,HOW THE WORD IS PASSED,,,A staff writer at The Atlantic explores the legacy of slavery and its imprint on centuries of American history.,positive
112,JUST MERCY,,,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,positive
113,LITTLE LEADERS,,,The biographies of 40 African-American women who made a difference.,positive
114,LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY,,,Biographies of trailblazing Black men.,positive
115,GROUND ZERO,,,"Parallel storylines of Brandon and Reshmina take place on Sept. 11th, in 2001 and 2019.",positive
116,LITTLE BLUE TRUCK'S VALENTINE,,,Little Blue Truck delivers Valentine's Day cards to all his farm animal friends.,positive
117,HOW TO CATCH A LOVEOSAURUS,,,The Catch Club Kids attempt to catch a dinosaur that wants to spread love and kindness.,positive
118,LOVE FROM THE VERY HUNGRY CATERPILLAR,,,A ravenous insect returns with its appetite intact.,negative
119,GRUMPY MONKEY VALENTINE GROSS-OUT,,,"Jim Panzee believes that Valentine's Day is gross, especially kissing!",positive
120,IN MY HEART,,,An exploration of feelings.,positive
121,LOVE FROM THE CRAYONS,,,The Crayons show the colors of love.,positive
122,THRONE OF GLASS,,,Celaena must battle evil forces threatening her realm.,positive
123,FOLK OF THE AIR,,,Jude’s quest to become the first mortal queen of the High Court of Faerie.,positive
124,THE STOLEN HEIR,,,Runaway Queen Suren and Prince Oak embark on a deadly and dangerous mission to the north.,positive
125,NICK AND CHARLIE,,,Nick and Charlie question whether their love is strong enough to survive being apart when Nick leaves for university.,neutral
126,MYSTERIES OF THORN MANOR,,,"Thorn Manor has magically trapped Elisabeth, Nathaniel and Silas inside. Can they get free in time for the Midwinter Ball?",positive
127,"SONG OF SILVER, FLAME LIKE NIGHT",,,"Lan and Zen struggle to survive in their conquered homeland, but they may also have the power to liberate it.",positive
128,REMARKABLY BRIGHT CREATURES,,,"A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there. Read by Marin Ireland and Michael Urie. 11 hours, 16 minutes unabridged.",positive
129,THE END OF THE WORLD IS JUST THE BEGINNING,,,"A look at potential changes in globalization. Read by the author. 16 hours, 44 minutes unabridged.",positive
130,KAREN'S BIRTHDAY,,,The sixth book in the Baby-sitters Little Sister graphic novel series. Karen hopes to have one big party to bring the whole family together.,positive
131,THE DRAGONET PROPHECY,,,The first book in the Wings of Fire graphic book series. Five dragonets spring into action to fulfill their destiny.,positive
132,"THE BOY, THE MOLE, THE FOX AND THE HORSE: THE ANIMATED STORY",,,A celebration of the work of more than 100 animators across two years of production in creating the film adaptation of the book.,positive
133,"KAIJU NO. 8, VOL. 5",,,"When the Defense Force takes Kafka Hibino into custody, he pleads his case with Director General Shinomiya.",positive
134,HIGH STAKES,,,A new assistant seeks to shake things up at a boutique literary and talent agency where damaging secrets have been kept hidden.,positive
135,DESPERATION IN DEATH,,,The 55th book of the In Death series. Eve Dallas is reminded of her past as she investigates a possible sex trafficking ring.,positive
136,21ST BIRTHDAY,,,The 21st book in the Women’s Murder Club series. New evidence changes the investigation of a missing mother.,positive
137,BAD LUCK AND TROUBLE,,,The 11th book in the Jack Reacher series. Reacher must discover who is hunting members of a team of former military investigators.,positive
138,TICK TOCK,,,"The 34th book in the Sisterhood series. As a vicious felon seeks to settle some scores, Myra and Charles call for reinforcements.",positive
139,RECOVERY ROAD,,,The eighth book in the Torpedo Ink series. A member of the motorcycle club helps an investment banker deal with thugs attempting to coerce her into marriage.,positive
140,SMOKE SCREEN,,,"Scandalous deaths thwart the investigation of a fatal fire at the police headquarters in Charleston, S.C.",negative
141,HEART BONES,,,"After an unexpected death prevents her from going to Penn State and and forces her to move in with her absent father, Beyah Grim has a summer fling with the rich guy next door.",positive
142,DAISY JONES & THE SIX,,,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,positive
143,UNSCRIPTED,,,"Two New York Times journalists portray power struggles within Paramount Global, the multibillion-dollar entertainment empire controlled by the Redstone family.",neutral
144,CASTE,,,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,positive
145,"LOVE, PAMELA",,,"The actress and activist details her childhood, rise to fame and the ways she is reclaiming the narrative of her life.",positive
146,BITTERSWEET,,,The author of “Quiet” suggests ways to embrace loss and suffering within ourselves and others.,positive
147,THE CLIMATE BOOK,,,The activist exposes greenwashing efforts and shares insights from leaders in various fields about climate challenges.,positive
148,SOMEONE ELSE'S SHOES,,,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.,negative
149,ENCORE IN DEATH,,,The 56th book of the In Death series. Eve Dallas investigates the mysterious death of a well-loved star of stage and screen.,positive
150,WALK THE BLUE LINE,,,A collection of stories about police officers.,positive
151,THE NINETIES,,,An overview of the cultural and historical impact of the 1990s.,positive
152,QUIET,,,Introverts — approximately one-third of the population — are undervalued in American society.,negative
153,BORN A CRIME,,,A memoir about growing up biracial in apartheid South Africa by the former host of “The Daily Show.”,positive
154,THE WINDEBY PUZZLE,,,Estrild dreams of becoming the first female warrior in her village during the Iron Age.,positive
155,THE SWIFTS,,,Shenanigan Swift investigates murders during a family reunion treasure hunt.,positive
156,"WHEN I TALK TO GOD, I TALK ABOUT YOU",,,Celebrating the loving bond between parent and child.,positive
157,HOW TO CATCH A LEPRECHAUN,,,This is the year you'll finally catch a leprechaun.,positive
158,THE LAST HOURS,,,The adventures of Shadowhunter Cordelia Carstairs as she battles evil forces in Edwardian London.,positive
159,WHO WAS/IS . . . ?,,,Biographies unlock legendary lives.,positive
160,THE DAVENPORTS,,,"The children of a wealthy Black family navigate romance, classism and racism in 1910 Chicago.",positive
161,THESE INFINITE THREADS,,,"In this sequel to ""This Woven Kingdom,"" Alizeh and Kamran's love is at stake when Cyrus abducts Alizeh and attempts to wed her.",positive
162,"MY HERO ACADEMIA, VOL. 33",,,Midoriya goes off on his own to draw the villains away and heroes outside Japan seek to join the fight.,neutral
163,THE ADVENTURE ZONE: THE ELEVENTH HOUR,,,"The fifth installment of the series that is based on the podcast from the McElroy family. Taako, Magnus and Merle are trapped in a time loop in a small mining town.",positive
164,"DEMON SLAYER: KIMETSU NO YAIBA, VOL. 1",,,A young charcoal seller must avenge his family by destroying the demon that slaughtered them.,positive
165,BEAUTIFUL,,,A supermodel deals with the effects of a terror attack at an airport in Brussels on her life and appearance.,positive
166,THE RED BOOK,,,The second book in the Billy Harney thriller series. The Chicago detective investigates his own past.,positive
167,SHADOWS REEL,,,"The 22nd book in the Joe Pickett series. A fishing guide’s murder, stolen falcons and a Nazi official’s photo album heighten the danger.",positive
168,GAME ON,,,The 28th book in the Stephanie Plum series. Diesel and Stephanie track the international computer hacker Oswald Wednesday.,positive
169,ABSOLUTE FEAR,,,The fourth book in the Rick Bentz/Reuben Montoy series. The detectives track a serial killer in New Orleans.,positive
170,IN HER HIGHLANDER'S BED,,,"The 11th book in the Highland Brides series. Allissaid MacFarlane starts to fall for Calan Campbell, Laird of Kilcairn.",positive
171,I WILL FIND YOU,,,A man imprisoned for murdering his 3-year-old son becomes convinced his son is still alive and plans an escape.,positive
172,HELLO BEAUTIFUL,,,"In a homage to Louisa May Alcott’s “Little Women,” a young man’s dark past resurfaces as he gets to know the family of his college sweetheart.",positive
173,NEVER NEVER,,,Questions arise when a pair of lovers try to uncover why they suddenly became strangers.,neutral
174,SAVED,,,The Fox News journalist gives his account of the injuries he sustained from a Russian attack while covering the war in Ukraine.,positive
175,PARIS,,,The entrepreneur and pop culture icon shares her personal and professional rise in the age of influencers.,positive
176,THE COURAGE TO BE FREE,,,The Florida governor gives his account of his achievements and shares his opinions about the political left.,positive
177,THE LONGEST RACE,,,The Olympic runner details the abuse and deception she experienced while on an elite running team for Nike.,positive
178,STORM WATCH,,,The 23rd book in the Joe Pickett series. Joe and Nate might be on opposite sides for the first time.,positive
179,PINEAPPLE STREET,,,Three women navigate their roles in a well-to-do family living in Brooklyn Heights.,positive
180,WORTHY OPPONENTS,,,A divorced mother of twins and chief executive of a luxury department store goes against a wealthy investor looking to take it over.,negative
181,ENCHANTMENT,,,The author of “Wintering” shares her journey to reconnect with her sense of wonder and awe.,positive
182,THINGS WE HIDE FROM THE LIGHT,,,The second book in the Knockemout series. A woman with some secrets and the chief of police have different ideas about where things are headed.,positive
183,SOUTH TO AMERICA,,,A wide-ranging collection of stories and histories based in the American South that also illuminate the country as a whole.,positive
184,THE BOMBER MAFIA,,,A look at the key players and outcomes of precision bombing during World War II.,positive
185,ICEBERG,,,Hazel Rothbury stows away on the Titanic.,negative
186,FINALLY SEEN,,,A young girl moves from China to America to be reunited with her family after five years apart.,positive
187,HOW TO CATCH THE EASTER BUNNY,,,The Easter Bunny avoids traps in order to deliver eggs and candy.,positive
188,PETE THE CAT: BIG EASTER ADVENTURE,,,A certain rabbit needs Pete's help.,neutral
189,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,,,Good Egg and his pals escape their carton!,positive
190,PETE THE CAT: THE GREAT LEPRECHAUN CHASE,,,Pete opens a leprechaun catching business.,positive
191,"GOOD NIGHT, LITTLE BLUE TRUCK",,,Blue and Toad offer shelter from a storm to other farm animals.,positive
192,THE HUNGER GAMES,,,"In a dystopia, a girl fights for survival on live TV.",positive
193,SHE IS A HAUNTING,,,"Jade Nguyen travels to Vietnam with her younger sister, Lily, to visit their father who’s restoring an old French colonial house which is haunted.",positive
194,OUTLIVE,,,"A look at recent scientific research on aging and longevity. Read by Peter Attia. 17 hours, 8 minutes unabridged.",positive
195,ALL MY KNOTTED-UP LIFE,,,"The founder of Living Proof Ministries details key moments from her life and her 2018 break with the Southern Baptist movement. Read by the author. 8 hours, 29 minutes unabridged.",positive
196,TWENTY THOUSAND FLEAS UNDER THE SEA,,,The 11th book in the Dog Man series. Piggy returns and the Supa Buddies are sabotaged.,positive
197,"SPY X FAMILY, VOL. 9",,,"A gang of assassins and bombs planted throughout a luxury cruiser put Loid, Anya and Yor in harm’s way. ",positive
198,"JUJUTSU KAISEN, VOL. 19",,,Itadori and Fushiguro get separated as they go after a player named Hiromi Higuruma. ,neutral
199,DEATH OF THE BLACK WIDOW,,,Detective Walter O’Brien is obsessed with an escape artist who bludgeoned her kidnapper and avoided police custody.,neutral
200,MERCY,,,The fourth book in the Atlee Pine series. Atlee discovers her twin sister survived an abduction at the age of 6.,positive
201,TOM CLANCY: ZERO HOUR,,,Jack Ryan Jr. appears to be the only person who can stop a second Korean war.,positive
202,GETTING EVEN,,,Two suspense stories: “Yesterday’s Lies” and “Zachary’s Law.”,positive
203,ONE NIGHT,,,A tale of two rival workaholic radio broadcasters who discover there is more to life than just their jobs.,positive
204,THEN YOU CAME ALONG,,,"Two romance stories: “Father’s Day” and “Same Time, Next Year.”",positive
205,A PLACE TO CALL HOME,,,Two romance stories: “Megan’s Mate” and “Best Laid Plans.”,positive
206,A BRIGHT NEW DAY,,,Two romance stories: “Borrowed Dreams” and “The Trouble With Caasi.”,positive
207,SIMPLY LIES,,,A former detective becomes the prime suspect in a murder case involving a man with mob ties who was in witness protection.,positive
208,THE LAST THING HE TOLD ME,,,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,positive
209,DARK ANGEL,,,The second book in the Letty Davenport series. Letty takes an undercover assignment that puts her in harm’s way with a group of hackers.,positive
210,THE WAGER,,,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,neutral
211,KILLERS OF THE FLOWER MOON,,,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",positive
212,YOU CAN'T JOKE ABOUT THAT,,,The co-host of “Gutfeld!” and Fox News contributor gives her take on free speech and comedy.,positive
213,CRYING IN H MART,,,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",positive
214,HANG THE MOON,,,"Nine years after being cast out, a young woman returns to reclaim her place in her family and comes into her own as a bootlegger.",positive
215,CITY OF DREAMS,,,"The second book in the City trilogy. When a movie is made about his former life, Danny Ryan looks for his cut and seeks to restart his criminal empire.",positive
216,WHERE ARE THE CHILDREN NOW?,,,"In a follow-up to “Where Are the Children?,” Melissa and Mike use their experience of being abducted to search for a missing girl.",positive
217,"POVERTY, BY AMERICA",,,The Pulitzer Prize-winning author of “Evicted” examines the ways in which affluent Americans keep poor people poor.,positive
218,I SWEAR,,,The Democratic congresswoman from California describes challenges she faced before and during her time in office.,positive
219,THE DAWN OF EVERYTHING,,,A reinvestigation of social evolution and suggestions for new ways of organizing society.,positive
220,THE RHYTHM OF TIME,,,"Rahim receives a cellphone from his inventor friend Kasia, which accidentally transports him back to the year 1997.",positive
221,BIG TREE,,,Two sycamore seeds seek solace in the Cretaceous Period after being forced from their mother tree.,negative
222,NIC BLAKE AND THE REMARKABLES,,,Nic and two friends hunt for a powerful magic tool to save her father from imprisonment.,positive
223,ONCE THERE WAS,,,"After the death of her father, who was a veterinarian to mythical creatures, Marjan must now take his place.",positive
224,WHAT DO YOU DO WITH AN IDEA?,,,Giving a new idea the room to grow.,positive
225,WOO HOO! YOU'RE DOING GREAT!,,,A cheerleading chicken boosts readers' self-esteem.,positive
226,I WISH YOU MORE,,,A bounty of good wishes.,positive
227,THE BOOK WITH NO PICTURES,,,Silly songs and sound effects.,negative
228,GRUMPY MONKEY,,,Jim Panzee is having a bad day.,negative
229,SHADOW AND BONE TRILOGY,,,"The basis of the Netflix series; previously titled ""The Grisha Trilogy.""",positive
230,SILVER IN THE BONE,,,"Tamsin Lark is on a quest to retrieve a magic ring that may break a curse on her brother, Cabell.",positive
231,SPELL BOUND,,,Two rival apprentice sorcerers must work together against the Magical Consortium to rescue their mentors.,positive
232,THE LITTLE MERMAID: AGAINST THE TIDE,,,"Ariel and her siblings must find their abducted sister, Mala, before the Coral Moon approaches.",positive
233,IF I SEE YOU AGAIN TOMORROW,,,"Caught in a time loop, Clark relives the same day over and over until he meets Beau and tries to break the cycle.",positive
234,HAPPY PLACE,,,"A former couple pretend to be together for the sake of their friends during their annual getaway in Maine. Read by Julia Whelan. 11 hours, 4 minutes unabridged.",positive
235,EXTREME OWNERSHIP,,,"Applying the principles of Navy SEALs leadership training to any organization. Read by the authors. 8 hours, 15 minutes unabridged.",positive
236,SCHOOL TRIP,,,The gang from Riverdale Academy Day face the unexpected when their faculty guides on a trip to Paris are replaced at the last minute.,positive
237,"ONE PIECE, VOL. 102",,,Monkey D. Luffy faces Kaido once again while searching for the greatest treasure in the world.,positive
238,"KAIJU NO. 8, VOL. 6",,,Director General Shinomiya must take action while Kikoru comes to the rescue of Kafka.,positive
239,FOR WHOM THE BALL ROLLS,,,The seventh book in the Dog Man series. A new villain has a bone to pick with Dog Man while Petey the Cat starts a new life.,positive
240,THE RUSSIAN,,,The 13th book in the Michael Bennett series. An assassin killing a number of women might disrupt the detective’s wedding plans.,positive
241,SUSPECTS,,,A C.I.A. agent on a covert mission develops a relationship with a woman who is considered fashion royalty and has a tragic past.,positive
242,TWO ALONE,,,"After a plane crash, a businesswoman and a Vietnam veteran must rely on each other in the wilderness.",positive
243,LEGACY,,,Threats put in rhymes and sent from shifting locations escalate as the daughter of a successful fitness celebrity’s own yoga business grows.,negative
244,THE JENSENS OF COLORADO,,,"Three western stories: “Those Jensen Boys,” “The Jensen Brand” and “Heart of the Mountain Man.”",neutral
